doi,pub_date,filename,file_format,num_bytes,total_downloads
10.13012/B2IDB-4900670_V1,2016-06-23,travel_times_2011.zip,application/zip,1335691587,470
10.13012/B2IDB-4900670_V1,2016-06-23,links.csv,text/csv,42001684,731
10.13012/B2IDB-4900670_V1,2016-06-23,README.txt,text/plain,5366,813
10.13012/B2IDB-4900670_V1,2016-06-23,license.txt,text/plain,28065,730
10.13012/B2IDB-4900670_V1,2016-06-23,travel_times_2013.zip,application/zip,1340668960,552
10.13012/B2IDB-4900670_V1,2016-06-23,nodes.csv,text/csv,7919999,595
10.13012/B2IDB-4900670_V1,2016-06-23,travel_times_2012.zip,application/zip,1343454210,528
10.13012/B2IDB-4900670_V1,2016-06-23,travel_times_2010.zip,application/zip,1092159271,604
10.13012/B2IDB-6648634_V1,2016-12-14,14IL008_H9Y9MADXX_s_2_fastq.txt.gz,application/x-gzip,17632056868,389
10.13012/B2IDB-6648634_V1,2016-12-14,16IL007_S7_L007_R1_001.fastq.gz,application/x-gzip,13545998422,388
10.13012/B2IDB-6648634_V1,2016-12-14,16IL003_key.txt,text/plain,32950,324
10.13012/B2IDB-6648634_V1,2016-12-14,16IL007_key.txt,text/plain,33968,340
10.13012/B2IDB-6648634_V1,2016-12-14,14IL008_key.txt,text/plain,81634,319
10.13012/B2IDB-6648634_V1,2016-12-14,14IL008_H9Y9MADXX_s_1_fastq.txt.gz,application/x-gzip,17404502974,438
10.13012/B2IDB-6648634_V1,2016-12-14,16IL003_C8BYLANXX_s_3_fastq.txt.gz,application/x-gzip,13332071483,403
10.13012/J81Z429G,2016-06-06,README.txt,text/plain,10372,344
10.13012/J81Z429G,2016-06-06,dat_1988t2009_frm.zip,application/zip,853031321,274
10.13012/J81Z429G,2016-06-06,dat_1988t2009_suc.tsv,text/plain,381088487,426
10.13012/B2IDB-2031816_V1,2017-08-30,Busycon_spire_angles_for_Data_Bank.xlsx,application/vnd.ms-excel,52985,9
10.13012/B2IDB-0475732_V1,2016-12-14,13IL015_key.txt,text/plain,18217,332
10.13012/B2IDB-0475732_V1,2016-12-14,13IL022_key.txt,text/plain,15265,294
10.13012/B2IDB-0475732_V1,2016-12-14,13IL015_C28E1ACXX_s_5_fastq.txt.gz,application/x-gzip,17456424868,278
10.13012/B2IDB-0475732_V1,2016-12-14,13IL014_C28E1ACXX_s_4_fastq.txt.gz,application/x-gzip,17940771075,251
10.13012/B2IDB-0475732_V1,2016-12-14,13IL022_C3E8TACXX_s_1_fastq.txt.gz,application/x-gzip,11137018558,283
10.13012/B2IDB-0475732_V1,2016-12-14,13IL014_key.txt,text/plain,16563,299
10.13012/B2IDB-6967733_V1,2018-05-01,13IL021_info.txt,text/plain,12658,286
10.13012/B2IDB-6967733_V1,2018-05-01,14IL001_C3JBJACXX_s_1_fastq.txt.gz,application/x-gzip,16307801195,258
10.13012/B2IDB-6967733_V1,2018-05-01,13IL020_C35WKACXX_s_1_fastq.txt.gz,application/x-gzip,15554182584,395
10.13012/B2IDB-6967733_V1,2018-05-01,13IL021_C35WKACXX_s_2_fastq.txt.gz,application/x-gzip,14849166163,325
10.13012/B2IDB-6967733_V1,2018-05-01,13IL020_info.txt,text/plain,12658,286
10.13012/B2IDB-6967733_V1,2018-05-01,16IL029_HGCMHBBXX_s_2_fastq.txt.gz,application/x-gzip,20992982868,378
10.13012/B2IDB-6967733_V1,2018-05-01,13IL023_info.txt,text/plain,12517,290
10.13012/B2IDB-6967733_V1,2018-05-01,16IL012_C8HKVANXX_s_3_fastq.txt.gz,application/x-gzip,14491736982,350
10.13012/B2IDB-6967733_V1,2018-05-01,16IL028_HGCMHBBXX_s_1_fastq.txt.gz,application/x-gzip,20973546090,295
10.13012/B2IDB-6967733_V1,2018-05-01,14IL001.txt,text/plain,10749,300
10.13012/B2IDB-6967733_V1,2018-05-01,13IL023_C3E8TACXX_s_2_fastq.txt.gz,application/x-gzip,15316991471,418
10.13012/B2IDB-6967733_V1,2018-05-01,16IL012_SS.xlsx,application/vnd.ms-excel,29806,297
10.13012/B2IDB-6967733_V1,2018-05-01,16IL028_16IL029_info.txt,text/plain,78187,306
10.13012/B2IDB-9154233_V1,2018-04-26,13IL018_info.txt,text/plain,27238,233
10.13012/B2IDB-9154233_V1,2018-04-26,15IL008_Tom.txt,text/plain,24702,213
10.13012/B2IDB-9154233_V1,2018-04-26,13IL018_C2HVPACXX_s_7_fastq.txt.gz,application/x-gzip,16178661617,325
10.13012/B2IDB-9154233_V1,2018-04-26,15IL006_C7URCANXX_s_6_fastq.txt.gz,application/x-gzip,12299943375,345
10.13012/B2IDB-9154233_V1,2018-04-26,15IL006_Tom.txt,text/plain,7275,198
10.13012/B2IDB-9154233_V1,2018-04-26,15IL007_C7U9MANXX_s_1_fastq.txt.gz,application/x-gzip,13859683862,281
10.13012/B2IDB-9154233_V1,2018-04-26,15IL008_C7U9MANXX_s_2_fastq.txt.gz,application/x-gzip,17321002302,289
10.13012/B2IDB-9154233_V1,2018-04-26,15IL007_Tom.txt,text/plain,25440,221
10.13012/B2IDB-4084515_V1,2016-07-22,141027DAPC-Msi.R,text/plain,3428,276
10.13012/B2IDB-4084515_V1,2016-07-22,150818diversity.R,text/plain,3228,284
10.13012/B2IDB-4084515_V1,2016-07-22,160418pop_stats.R,text/plain,2394,277
10.13012/B2IDB-4084515_V1,2016-07-22,160419TASSEL_results.txt,text/plain,2378381,547
10.13012/B2IDB-4084515_V1,2016-07-22,plotHardinessZones.R,text/plain,2849,269
10.13012/B2IDB-4084515_V1,2016-07-22,140812exportStructure.R,text/plain,1582,275
10.13012/B2IDB-4084515_V1,2016-07-22,150819chloroplast_and_SNP_analysis.R,text/plain,13375,289
10.13012/B2IDB-4084515_V1,2016-07-22,Photo_locations_150810.csv,text/csv,629,308
10.13012/B2IDB-4084515_V1,2016-07-22,HapMapMsa.hmp.txt,text/plain,18324793,306
10.13012/B2IDB-4084515_V1,2016-07-22,RU2012_chloroplast_results_140813_140922.txt,text/plain,18008,380
10.13012/B2IDB-4084515_V1,2016-07-22,dh_counts_ru.csv,text/plain,1391712,276
10.13012/B2IDB-4084515_V1,2016-07-22,150810photomaps.R,text/plain,639,292
10.13012/B2IDB-4084515_V1,2016-07-22,141010latlong.txt,text/plain,13733,347
10.13012/B2IDB-4084515_V1,2016-07-22,README.txt,text/plain,5179,469
10.13012/B2IDB-4084515_V1,2016-07-22,2012_Collection_of_the_Poaceae_Germplasm_in_Eastern_Russia.pdf,application/pdf,12988342,375
10.13012/B2IDB-4084515_V1,2016-07-22,hapMap2genind.R,text/x-java,922,264
10.13012/B2IDB-4084515_V1,2016-07-22,151019meantemps.R,text/plain,3076,281
10.13012/B2IDB-4084515_V1,2016-07-22,GWASrussia160426_rrBLUP.R,text/plain,14451,286
10.13012/B2IDB-4084515_V1,2016-07-22,2012_Collection_of_Poaceae_Germplasm_in_Eastern_Russia_Book_2.pdf,application/pdf,9081666,463
10.13012/B2IDB-4084515_V1,2016-07-22,160105phenotype.R,text/plain,17511,279
10.13012/B2IDB-4084515_V1,2016-07-22,Dataset_S1-2012_COLLECTION_OF_MISCANTHUS_GERMPLASM_IN_EASTERN_RUSSIA.csv,text/csv,108969,294
10.13012/B2IDB-4084515_V1,2016-07-22,HapMapMsa.fas.txt,text/plain,4942538,364
10.13012/B2IDB-4084515_V1,2016-07-22,pheno_lat.csv,text/csv,4991,279
10.13012/B2IDB-4084515_V1,2016-07-22,141022RU_positions.csv,text/csv,390293,302
10.13012/B2IDB-4084515_V1,2016-07-22,HapMapMsi.fas.txt,text/plain,4417454,360
10.13012/B2IDB-4084515_V1,2016-07-22,MiscanthusTagDatabase160224.xlsx,application/vnd.ms-excel,5642759,847
10.13012/B2IDB-4084515_V1,2016-07-22,hapMap2numeric.R,text/plain,1536,264
10.13012/B2IDB-4084515_V1,2016-07-22,HapMapMsi.hmp.txt,text/plain,33048909,346
10.13012/B2IDB-4084515_V1,2016-07-22,HapMapMsa.hmc.txt,text/plain,39356577,329
10.13012/B2IDB-4084515_V1,2016-07-22,150810phenotypes_for_R.csv,text/plain,16875,276
10.13012/B2IDB-4084515_V1,2016-07-22,HapMapMsi.hmc.txt,text/plain,73891502,329
10.13012/B2IDB-4475836_V1,2016-12-14,12IL013_key.txt,text/plain,7955,362
10.13012/B2IDB-4475836_V1,2016-12-14,12IL012_key.txt,text/plain,7961,378
10.13012/B2IDB-4475836_V1,2016-12-14,12IL012_D10MRACXX_s_7_fastq.txt.gz,application/x-gzip,18891620589,460
10.13012/B2IDB-4475836_V1,2016-12-14,12IL013_D10MRACXX_s_3_fastq.txt.gz,application/x-gzip,19501152305,547
10.13012/B2IDB-4475836_V1,2016-12-14,12IL011_D10MRACXX_s_1_fastq.txt.gz,application/x-gzip,18939397962,495
10.13012/B2IDB-4475836_V1,2016-12-14,12IL011_key.txt,text/plain,7992,391
10.13012/B2IDB-6530647_V1,2016-12-14,13IL004_key.txt,text/plain,7271,326
10.13012/B2IDB-6530647_V1,2016-12-14,13IL012_key.txt,text/plain,17791,315
10.13012/B2IDB-6530647_V1,2016-12-14,13IL012_D274FACXX_s_7_fastq.txt.gz,application/x-gzip,16684410674,330
10.13012/B2IDB-6530647_V1,2016-12-14,13IL011_D274FACXX_s_6_fastq.txt.gz,application/x-gzip,15768129610,340
10.13012/B2IDB-6530647_V1,2016-12-14,13IL004_C1UPLACXX_s_5_fastq.txt.gz,application/x-gzip,16317150786,319
10.13012/B2IDB-6530647_V1,2016-12-14,13IL011_key.txt,text/plain,17789,294
10.13012/B2IDB-9276024_V1,2016-12-02,pop_num_4week.csv,text/csv,1318,314
10.13012/B2IDB-8561435_V1,2016-12-14,12IL007_C0G97ACXX_s_1_fastq.txt.gz,application/x-gzip,12847823606,295
10.13012/B2IDB-8561435_V1,2016-12-14,12IL006_key.txt,text/plain,7961,363
10.13012/B2IDB-8561435_V1,2016-12-14,12IL007_key.txt,text/plain,7929,300
10.13012/B2IDB-8561435_V1,2016-12-14,12IL004_key.txt,text/plain,7982,316
10.13012/B2IDB-8561435_V1,2016-12-14,12IL005_key.txt,text/plain,7948,319
10.13012/B2IDB-8561435_V1,2016-12-14,12IL004_C0F1MACXX_s_3_fastq.txt.gz,application/x-gzip,12736048781,268
10.13012/B2IDB-8561435_V1,2016-12-14,12IL003_key.txt,text/plain,7944,359
10.13012/B2IDB-8561435_V1,2016-12-14,12IL003_C0F1MACXX_s_2_fastq.txt.gz,application/x-gzip,13661432989,269
10.13012/B2IDB-8561435_V1,2016-12-14,12IL005_C0FW4ACXX_s_1_fastq.txt.gz,application/x-gzip,14801724402,268
10.13012/B2IDB-8561435_V1,2016-12-14,12IL006_C0FW4ACXX_s_2_fastq.txt.gz,application/x-gzip,12885074741,294
10.13012/B2IDB-0094019_V1,2016-12-14,11IL005_key.txt,text/plain,7542,359
10.13012/B2IDB-0094019_V1,2016-12-14,11IL005_D0CR6ACXX_s_7_fastq.txt.gz,application/x-gzip,17448888681,310
10.13012/B2IDB-3782968_V1,2018-12-20,Error_Analysis.xlsx,application/vnd.ms-excel,135258,227
10.13012/B2IDB-1616387_V1,2018-02-22,README.txt,text/plain,2270,239
10.13012/B2IDB-1616387_V1,2018-02-22,data.zip,application/zip,21608011,346
10.13012/B2IDB-7546972_V1,2016-11-28,pcmap.zip,application/zip,93132625,586
10.13012/B2IDB-7735354_V1,2017-09-19,species-trees-rand.tar.gz,application/x-gzip,33167225,324
10.13012/B2IDB-7735354_V1,2017-09-19,gene-trees-full.tar.gz,application/x-gzip,153794884,419
10.13012/B2IDB-7735354_V1,2017-09-19,alignments-rand.tar.gz,application/x-gzip,635271705,464
10.13012/B2IDB-7735354_V1,2017-09-19,alignments-clad.tar.gz,application/x-gzip,223881622,307
10.13012/B2IDB-7735354_V1,2017-09-19,alignments-full.tar.gz,application/x-gzip,494970995,446
10.13012/B2IDB-7735354_V1,2017-09-19,ekm-tw-missing-data-supplement.pdf,application/pdf,511706,435
10.13012/B2IDB-7735354_V1,2017-09-19,species-trees-clad.tar.gz,application/x-gzip,32580913,426
