doi,pub_date,filename,file_format,num_bytes,total_downloads
10.5072/FK2IDB-1754329_V1,2017-01-09,DatabaseDesignWorkshopSlides.pdf,application/pdf,2373805,47
10.5072/FK2IDB-1754329_V1,2017-01-09,information_system_contingency_plan_template.docx,application/msword,975762,136
10.5072/FK2IDB-1754329_V1,2017-01-09,face.jpeg,image/jpeg,3449,116
10.13012/B2IDB-4900670_V1,2016-06-23,travel_times_2011.zip,application/zip,1335691587,463
10.13012/B2IDB-4900670_V1,2016-06-23,links.csv,text/csv,42001684,723
10.13012/B2IDB-4900670_V1,2016-06-23,README.txt,text/plain,5366,805
10.13012/B2IDB-4900670_V1,2016-06-23,license.txt,text/plain,28065,723
10.13012/B2IDB-4900670_V1,2016-06-23,travel_times_2013.zip,application/zip,1340668960,539
10.13012/B2IDB-4900670_V1,2016-06-23,nodes.csv,text/csv,7919999,587
10.13012/B2IDB-4900670_V1,2016-06-23,travel_times_2012.zip,application/zip,1343454210,521
10.13012/B2IDB-4900670_V1,2016-06-23,travel_times_2010.zip,application/zip,1092159271,597
10.5072/FK2IDB-7870835_V1,2016-05-20,letters.txt,text/plain,7,28
10.5072/FK2IDB-7870835_V1,2016-05-20,test.txt,text/plain,4,39
10.13012/B2IDB-6648634_V1,2016-12-14,14IL008_H9Y9MADXX_s_2_fastq.txt.gz,application/x-gzip,17632056868,387
10.13012/B2IDB-6648634_V1,2016-12-14,16IL007_S7_L007_R1_001.fastq.gz,application/x-gzip,13545998422,386
10.13012/B2IDB-6648634_V1,2016-12-14,16IL003_key.txt,text/plain,32950,322
10.13012/B2IDB-6648634_V1,2016-12-14,16IL007_key.txt,text/plain,33968,336
10.13012/B2IDB-6648634_V1,2016-12-14,14IL008_key.txt,text/plain,81634,315
10.13012/B2IDB-6648634_V1,2016-12-14,14IL008_H9Y9MADXX_s_1_fastq.txt.gz,application/x-gzip,17404502974,436
10.13012/B2IDB-6648634_V1,2016-12-14,16IL003_C8BYLANXX_s_3_fastq.txt.gz,application/x-gzip,13332071483,401
10.13012/J81Z429G,2016-06-06,README.txt,text/plain,10372,337
10.13012/J81Z429G,2016-06-06,dat_1988t2009_frm.zip,application/zip,853031321,268
10.13012/J81Z429G,2016-06-06,dat_1988t2009_suc.tsv,text/plain,381088487,420
